Calendar Year, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non-Cat Cov A Fire Claims , Non-Cat Cov A Fire Losses , Non-Cat Cov A Smoke Claims , Non-Cat Cov A Smoke Losses , Non-Cat Cov C Fire Claims , Non-Cat Cov C Fire Losses , Non-Cat Cov C Smoke Claims , Non-Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
90041," 4,501,495 "," 2,834 "," 509,609 "," 353,470 ",, 0.74 ," 1,263 "," 1,132 ", 363 , 76 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90042," 5,089,220 "," 3,906 "," 425,743 "," 290,685 ",, 0.77 ," 1,658 "," 1,591 ", 557 , 99 , 2 , 4 ," 562,908 ", 1 ," 4,427 ", 2 ," 212,001 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90043," 6,085,762 "," 4,175 "," 482,528 "," 324,882 ",, 0.39 ," 2,544 "," 1,630 ", 1 ,,, 1 ," 66,983 ", 1 ," 7,011 ", 2 ," 15,809 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90044," 3,916,098 "," 3,575 "," 334,638 "," 214,505 ",, 0.35 ," 2,324 "," 1,247 ", 4 ,,, 5 ," 250,245 ", 1 ," 13,781 ", 4 ," 90,105 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90045," 6,610,621 "," 4,198 "," 595,506 "," 412,847 ",, 0.51 ," 2,067 "," 2,120 ", 10 , 1 ,, 2 ," 108,443 ", -   , -   , 3 ," 104,897 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90046," 10,325,891 "," 2,805 "," 1,035,876 "," 684,621 ",, 1.54 , 386 ," 1,276 ", 471 , 576 , 96 , 4 ," 1,255,048 ", -   , -   , 2 ," 302,663 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90047," 5,496,989 "," 4,823 "," 359,498 "," 238,988 ",, 0.36 ," 3,080 "," 1,740 ", 3 ,,, 5 ," 153,233 ", 2 ," 24,976 ", 5 ," 271,693 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90048," 4,036,042 "," 1,380 "," 984,304 "," 650,039 ",, 0.56 , 637 , 712 , 32 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90049," 29,161,714 "," 4,177 "," 2,141,249 "," 1,322,561 ",, 1.36 , 426 ," 2,465 ", 731 , 460 , 95 , 2 ," 6,883,240 ", 1 ," 19,625 ", 2 ," 368,862 ", -   , -   , 1 ," 7,500 ", -   , -   , -   , -   , -   , -   
90056," 2,611,508 "," 1,068 "," 788,378 "," 542,233 ",, 0.46 , 585 , 473 , 10 ,,, 2 ," 14,362 ", -   , -   , 1 ," 3,683 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90057," 106,217 ", 78 ," 458,612 "," 305,824 ",, 0.32 , 53 , 25 ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90058," 19,673 ", 26 ," 271,598 "," 173,416 ",, 0.28 , 19 , 7 ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90059," 2,190,791 "," 2,245 "," 306,862 "," 194,321 ",, 0.34 ," 1,482 ", 759 , 3 ,,, 3 ," 66,398 ", 2 ," 14,059 ", 2 ," 48,038 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90061," 1,380,125 "," 1,357 "," 316,740 "," 207,133 ",, 0.34 , 896 , 459 , 2 ,,, 2 ," 120,151 ", 1 ," 23,090 ", 1 ," 20,690 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90062," 2,265,845 "," 1,835 "," 384,170 "," 254,444 ",, 0.38 ," 1,135 ", 699 ,,,, 1 ," 10,304 ", -   , -   , 1 ," 3,435 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90063," 1,911,898 "," 2,023 "," 328,444 "," 214,411 ",, 0.35 ," 1,313 ", 708 , 2 ,,, 2 ," 236,194 ", -   , -   , 1 ," 47,763 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90064," 6,938,631 "," 2,937 "," 843,276 "," 563,625 ",, 0.54 ," 1,427 "," 1,432 ", 78 ,,, 1 , 715 , -   , -   , 1 ," 14,056 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90065," 6,637,189 "," 4,294 "," 489,729 "," 335,215 ",, 1.06 ," 1,391 "," 1,753 ", 664 , 469 , 17 , 2 ," 9,403 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90066," 8,008,767 "," 4,678 "," 636,073 "," 436,007 ",, 0.45 ," 2,610 "," 2,042 ", 26 ,,, 2 ," 339,176 ", -   , -   , 1 ," 177,649 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90067," 122,857 ", 11 ," 4,061,649 "," 2,669,331 ",, 1.09 , 2 , 7 , 3 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90068," 13,082,885 "," 3,438 "," 1,009,122 "," 680,836 ",, 1.51 , 332 ," 1,701 ", 793 , 550 , 62 , 4 ," 287,596 ", -   , -   , 1 ," 28,100 ", -   , -   , 1 , 730 , -   , -   , -   , -   , -   , -   
90069," 7,439,326 "," 1,224 "," 1,711,988 "," 1,133,244 ",, 1.06 , 210 , 806 , 141 , 58 , 9 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90077," 12,192,770 "," 1,782 "," 2,013,202 "," 1,270,645 ",, 2.06 , 2 , 802 , 197 , 649 , 132 , -   , -   , 1 ," 20,655 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90088," 3,519 ", 1 ," 714,650 "," 500,255 ",, 4.00 ,,,,, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90094," 442,880 ", 199 ," 1,034,632 "," 714,801 ",, 0.53 , 97 , 98 , 4 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90189," 1,069 ", 1 ," 486,199 "," 243,100 ",, 3.00 ,,,, 1 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90201," 1,945,695 "," 2,270 "," 316,361 "," 210,459 ",, 0.37 ," 1,431 ", 839 ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90210," 32,643,174 "," 3,288 "," 3,164,684 "," 1,861,519 ",, 1.56 , 375 ," 1,630 ", 500 , 632 , 150 , 3 ," 3,444,759 ", 1 ," 12,517 ", 4 ," 269,502 ", 1 ," 4,013 ", 1 ," 1,000,000 ", -   , -   , 1 ," 300,000 ", -   , -   
90211," 1,651,843 ", 544 ," 1,025,207 "," 653,294 ",, 0.50 , 278 , 263 , 4 ,,, 1 ," 51,893 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90212," 2,558,421 ", 587 ," 1,463,836 "," 962,505 ",, 0.66 , 223 , 339 , 25 , -   ,, 1 ," 6,301 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90220," 3,755,539 "," 3,441 "," 300,216 "," 194,313 ",, 0.33 ," 2,314 "," 1,124 ", 3 ,,, 4 ," 501,657 ", 1 ," 5,400 ", 3 ," 61,975 ", 1 ," 5,500 ", -   , -   , -   , -   , -   , -   , -   , -   
90221," 3,142,722 "," 3,099 "," 312,382 "," 199,124 ",, 0.35 ," 2,028 "," 1,069 ", 1 ,, 1 , 1 ," 300,000 ", 1 ," 7,024 ", 1 ," 119,352 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90222," 2,004,065 "," 2,037 "," 290,640 "," 184,539 ",, 0.33 ," 1,374 ", 660 , 3 ,,, 3 ," 479,594 ", 1 ," 3,710 ", 2 ," 259,109 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90230," 3,020,012 "," 2,078 "," 527,595 "," 364,518 ",, 0.38 ," 1,292 ", 781 , 4 , 1 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90232," 2,021,289 "," 1,169 "," 609,524 "," 418,142 ",, 0.40 , 706 , 459 , 3 ,,, 1 ," 170,669 ", -   , -   , 1 ," 53,485 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90240," 3,649,192 "," 2,721 "," 532,622 "," 356,794 ",, 0.36 ," 1,737 ", 984 ,,,, 3 ," 37,586 ", -   , -   , 2 ," 23,934 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90241," 3,871,438 "," 3,181 "," 497,008 "," 336,785 ",, 0.36 ," 2,039 "," 1,142 ",,,, 3 ," 30,295 ", -   , -   , 2 ," 7,384 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90242," 3,167,039 "," 3,241 "," 384,151 "," 259,729 ",, 0.30 ," 2,253 ", 987 ,,,, 1 ," 500,000 ", -   , -   , 1 ," 263,250 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90245," 2,330,364 "," 1,455 "," 661,350 "," 459,208 ",, 0.59 , 598 , 856 , 1 ,,, 1 ," 47,567 ", -   , -   , 1 ," 21,366 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90247," 2,471,869 "," 2,334 "," 370,610 "," 249,085 ",, 0.33 ," 1,567 ", 764 , 2 ,,, 3 ," 50,191 ", -   , -   , 1 ," 6,397 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90248," 1,005,638 ", 905 ," 392,848 "," 268,958 ",, 0.35 , 589 , 316 ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90249," 2,497,229 "," 2,480 "," 370,449 "," 252,621 ",, 0.31 ," 1,708 ", 771 , 1 ,,, 4 ," 554,998 ", -   , -   , 4 ," 370,834 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90250," 5,195,691 "," 5,010 "," 385,009 "," 262,898 ",, 0.29 ," 3,559 "," 1,448 ", 4 ,,, 2 ," 160,095 ", -   , -   , 4 ," 102,204 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90254," 4,551,259 "," 1,948 "," 960,206 "," 636,546 ",, 0.59 , 832 ," 1,092 ", 25 ,,, 1 ," 30,669 ", -   , -   , 1 ," 6,093 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90255," 2,189,337 "," 2,350 "," 348,261 "," 231,960 ",, 0.35 ," 1,520 ", 830 ,,,, 1 ," 6,257 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90260," 1,833,117 "," 1,896 "," 359,862 "," 245,616 ",, 0.31 ," 1,310 ", 585 , 1 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90262," 3,054,925 "," 3,459 "," 316,285 "," 209,066 ",, 0.35 ," 2,237 "," 1,221 ", 1 ,,, 6 ," 938,101 ", -   , -   , 5 ," 438,160 ", -   , -   , 1 ," 372,358 ", -   , -   , 1 ," 30,690 ", -   , -   
90265," 16,966,516 "," 2,358 "," 1,965,218 "," 1,247,101 ",, 1.91 , 88 , 736 , 929 , 499 , 106 , 1 ," 23,034 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90266," 13,883,883 "," 4,868 "," 1,275,571 "," 805,827 ",, 0.65 ," 1,809 "," 2,971 ", 89 ,,, 4 ," 1,467,771 ", -   , -   , 4 ," 1,115,413 ", -   , -   , -   , -   , -   , -   , 1 ," 64,912 ", -   , -   
90270," 671,955 ", 829 ," 300,369 "," 197,507 ",, 0.37 , 525 , 305 ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90272," 25,971,187 "," 4,127 "," 1,925,827 "," 1,261,909 ",, 1.35 , 332 ," 2,477 ", 903 , 364 , 51 , 2 ," 259,500 ", -   , -   , 2 ," 40,425 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90274," 14,413,530 "," 4,339 "," 1,400,684 "," 924,510 ",, 0.77 ," 1,334 "," 2,717 ", 234 , 51 , 3 , 1 ," 26,717 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90275," 13,338,656 "," 6,041 "," 877,847 "," 600,076 ",, 0.62 ," 2,508 "," 3,338 ", 172 , 22 , 1 , 2 ," 670,751 ", -   , -   , 2 ," 225,001 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90277," 5,300,534 "," 2,898 "," 743,051 "," 511,058 ",, 0.55 ," 1,302 "," 1,589 ", 7 ,,, 1 ," 9,292 ", -   , -   , 1 ," 1,106 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90278," 5,121,922 "," 3,462 "," 571,504 "," 394,737 ",, 0.51 ," 1,712 "," 1,746 ", 4 ,,, 5 ," 188,112 ", -   , -   , 5 ," 162,904 ", 1 ," 11,289 ", -   , -   , -   , -   , -   , -   , -   , -   
90280," 4,417,071 "," 5,052 "," 317,374 "," 210,444 ",, 0.35 ," 3,266 "," 1,786 ",,,, 8 ," 1,150,825 ", -   , -   , 5 ," 330,275 ", -   , -   , 1 ," 227,722 ", -   , -   , 1 ," 65,000 ", -   , -   
90290," 2,315,483 ", 784 ," 833,561 "," 496,704 ",, 2.95 , -   , 50 , 148 , 371 , 213 , 1 ," 3,595 ", -   , -   , 1 ," 1,255 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90291," 5,107,107 "," 2,218 "," 811,851 "," 524,899 ",, 0.53 ," 1,084 "," 1,092 ", 42 ,,, 2 ," 443,190 ", 1 ," 9,955 ", 1 ," 75,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90292," 1,639,765 ", 428 ," 1,288,052 "," 847,221 ",, 0.60 , 186 , 229 , 13 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90293," 1,967,449 ", 728 ," 995,600 "," 656,927 ",, 0.59 , 307 , 411 , 9 , 1 ,, 1 ," 249,186 ", -   , -   , 1 ," 45,406 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90301," 1,295,877 "," 1,280 "," 410,461 "," 256,131 ",, 0.34 , 843 , 437 ,,,, -   , -   , 1 ," 7,114 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90302," 1,313,639 "," 1,071 "," 386,867 "," 263,400 ",, 0.39 , 658 , 413 ,,,, 1 ," 290,085 ", -   , -   , 1 ," 135,947 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90303," 1,566,317 "," 1,390 "," 369,657 "," 248,725 ",, 0.37 , 883 , 502 , 5 ,,, 2 ," 354,723 ", -   , -   , 2 ," 125,072 ", -   , -   , 1 ," 150,000 ", -   , -   , 1 ," 55,000 ", -   , -   
90304," 989,807 ", 994 ," 325,952 "," 221,775 ",, 0.31 , 684 , 310 ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90305," 2,463,116 "," 1,759 "," 464,925 "," 315,812 ",, 0.39 ," 1,071 ", 687 , 1 ,,, 4 ," 619,156 ", -   , -   , 2 ," 74,018 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90401," 129,610 ", 28 ," 1,620,950 "," 996,898 ",, 0.71 , 10 , 16 , 2 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90402," 9,894,539 "," 1,641 "," 2,203,701 "," 1,330,157 ",, 1.03 , 354 , 920 , 330 , 32 , 5 , 1 ," 2,412,500 ", -   , -   , 1 ," 350,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90403," 1,693,203 ", 567 ," 1,116,252 "," 732,756 ",, 0.68 , 224 , 301 , 41 , 1 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90404," 447,677 ", 275 ," 533,778 "," 356,828 ",, 0.50 , 139 , 135 , 1 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90405," 3,764,076 "," 1,775 "," 770,101 "," 517,764 ",, 0.54 , 839 , 907 , 29 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90501," 3,566,902 "," 2,881 "," 464,065 "," 323,094 ",, 0.43 ," 1,644 "," 1,237 ",,,, 2 ," 85,348 ", -   , -   , 3 ," 217,148 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90502," 1,376,871 "," 1,271 "," 370,315 "," 255,200 ",, 0.29 , 905 , 366 ,,,, 2 ," 211,161 ", -   , -   , 2 ," 406,691 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90503," 4,251,781 "," 3,318 "," 509,885 "," 358,327 ",, 0.49 ," 1,684 "," 1,634 ",,,, 1 ," 10,062 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90504," 3,370,248 "," 3,136 "," 432,607 "," 304,086 ",, 0.42 ," 1,825 "," 1,311 ",,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90505," 5,022,608 "," 3,467 "," 563,197 "," 392,948 ",, 0.50 ," 1,747 "," 1,717 ", 3 ,,, 1 ," 39,569 ", 1 ," 4,830 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90601," 5,313,528 "," 3,401 "," 476,433 "," 325,844 ",, 0.87 ," 1,310 "," 1,538 ", 255 , 285 , 12 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90602," 2,529,425 "," 1,863 "," 462,487 "," 315,227 ",, 0.74 , 835 , 787 , 137 , 100 , 3 , 3 ," 38,407 ", -   , -   , 1 ," 6,613 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90603," 3,945,235 "," 2,799 "," 479,710 "," 335,789 ",, 0.74 ," 1,234 "," 1,246 ", 128 , 189 , 2 , -   , -   , 1 ," 30,650 ", -   , -   , 1 ," 47,344 ", -   , -   , -   , -   , -   , -   , -   , -   
90604," 4,756,219 "," 4,373 "," 391,095 "," 271,256 ",, 0.32 ," 2,973 "," 1,400 ",,,, 1 ," 5,695 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90605," 5,370,429 "," 4,189 "," 415,702 "," 287,287 ",, 0.50 ," 2,380 "," 1,626 ", 89 , 93 , 1 , 3 ," 222,949 ", -   , -   , 2 ," 139,015 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90606," 3,204,619 "," 3,201 "," 336,684 "," 228,084 ",, 0.34 ," 2,103 "," 1,097 ", 1 ,,, 1 ," 404,432 ", -   , -   , 1 ," 183,309 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90638," 7,158,354 "," 5,759 "," 435,584 "," 299,399 ",, 0.37 ," 3,658 "," 2,070 ", 31 ,,, 3 ," 155,654 ", -   , -   , 3 ," 35,758 ", -   , -   , 1 ," 3,226 ", -   , -   , -   , -   , -   , -   
90640," 4,406,278 "," 3,879 "," 427,337 "," 288,876 ",, 0.39 ," 2,444 "," 1,381 ", 51 , 4 ,, 2 ," 7,204 ", -   , -   , 3 ," 155,636 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90650," 8,683,680 "," 9,880 "," 319,406 "," 218,000 ",, 0.30 ," 6,892 "," 2,988 ", 1 ,,, 13 ," 1,337,551 ", 2 ," 27,260 ", 12 ," 708,133 ", 1 ," 7,287 ", 3 ," 256,251 ", -   , -   , 3 ," 51,708 ", -   , -   
90660," 5,731,359 "," 5,831 "," 341,516 "," 232,731 ",, 0.37 ," 3,689 "," 2,135 ", 6 , 1 ,, 7 ," 1,240,292 ", -   , -   , 5 ," 490,370 ", -   , -   , 1 ," 7,500 ", -   , -   , -   , -   , -   , -   
90670," 1,599,911 "," 1,620 "," 361,240 "," 249,439 ",, 0.31 ," 1,113 ", 507 ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90701," 1,461,552 "," 1,285 "," 441,263 "," 304,872 ",, 0.29 , 914 , 369 , 2 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90703," 7,523,387 "," 5,670 "," 509,778 "," 354,090 ",, 0.35 ," 3,699 "," 1,972 ",,,, -   , -   , 1 ," 17,460 ", -   , -   , 2 ," 47,059 ", -   , -   , -   , -   , -   , -   , -   , -   
90704," 466,491 ", 175 ," 637,901 "," 424,174 ",, 2.18 , 5 , 69 , 5 , 80 , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90706," 4,454,927 "," 4,441 "," 383,644 "," 261,219 ",, 0.33 ," 2,970 "," 1,472 ",,,, 3 ," 221,692 ", 2 ," 6,509 ", 3 ," 40,391 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90710," 2,243,826 "," 1,720 "," 466,335 "," 315,394 ",, 0.41 ," 1,022 ", 698 ,,,, 1 ," 405,877 ", -   , -   , 1 ," 108,721 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90712," 4,237,278 "," 4,452 "," 393,185 "," 272,858 ",, 0.37 ," 2,792 "," 1,656 ", 4 ,,, 6 ," 1,375,476 ", -   , -   , 4 ," 514,322 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90713," 4,003,827 "," 4,351 "," 378,006 "," 266,149 ",, 0.42 ," 2,505 "," 1,845 ", 1 ,,, 1 ," 33,320 ", -   , -   , 1 ," 22,572 ", -   , -   , 1 ," 171,572 ", -   , -   , 1 ," 55,000 ", -   , -   
90715," 1,441,237 "," 1,531 "," 362,590 "," 251,452 ",, 0.30 ," 1,068 ", 462 ,,,, 2 ," 702,000 ", -   , -   , 1 ," 150,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90716," 479,325 ", 576 ," 304,321 "," 205,638 ",, 0.35 , 373 , 202 ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90717," 2,023,875 "," 1,542 "," 470,383 "," 328,805 ",, 0.45 , 850 , 691 , 1 ,,, 1 ," 350,574 ", 1 ," 16,231 ", 1 ," 130,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90723," 1,729,894 "," 2,039 "," 321,647 "," 215,362 ",, 0.32 ," 1,394 ", 645 ,,,, 2 ," 31,907 ", -   , -   , 1 ," 182,087 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90731," 4,131,979 "," 3,089 "," 450,177 "," 308,213 ",, 0.45 ," 1,695 "," 1,391 ", 3 ,,, 5 ," 633,766 ", -   , -   , 3 ," 384,586 ", -   , -   , 1 ," 5,332 ", -   , -   , -   , -   , -   , -   
90732," 2,945,551 "," 2,001 "," 556,826 "," 379,681 ",, 0.47 ," 1,082 ", 892 , 27 ,,, 2 ," 10,560 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90744," 3,180,709 "," 3,007 "," 338,196 "," 231,143 ",, 0.34 ," 1,991 "," 1,017 ",,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90745," 4,911,444 "," 4,390 "," 374,970 "," 255,341 ",, 0.26 ," 3,250 "," 1,138 ", 2 ,,, 3 ," 843,328 ", -   , -   , 3 ," 606,246 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90746," 5,138,770 "," 3,241 "," 428,622 "," 287,349 ",, 0.31 ," 2,226 "," 1,014 ", 1 ,,, 1 ," 13,403 ", -   , -   , -   , -   , -   , -   , 1 ," 5,000 ", -   , -   , 1 ," 1,500 ", -   , -   
90755," 914,086 ", 627 ," 560,033 "," 383,373 ",, 0.53 , 334 , 255 , 37 ,,, 1 ," 20,000 ", -   , -   , 1 ," 5,000 ", -   , -   , 1 ," 100,000 ", -   , -   , 1 ," 90,000 ", -   , -   
90802," 326,851 ", 309 ," 394,502 "," 267,691 ",, 0.37 , 195 , 115 ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90803," 5,212,667 "," 2,886 "," 744,004 "," 511,242 ",, 0.54 ," 1,335 "," 1,534 ", 17 ,,, 3 ," 489,495 ", -   , -   , 1 ," 221,227 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90804," 1,273,023 "," 1,252 "," 390,463 "," 264,513 ",, 0.41 , 761 , 473 , 18 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90805," 5,221,535 "," 5,789 "," 317,494 "," 211,302 ",, 0.34 ," 3,861 "," 1,872 ", 56 ,,, 3 ," 350,494 ", 3 ," 17,098 ", 3 ," 161,513 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90806," 2,428,101 "," 2,482 "," 380,085 "," 256,568 ",, 0.35 ," 1,623 ", 860 ,,,, 5 ," 819,457 ", 1 ," 1,895 ", 4 ," 354,983 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90807," 4,671,643 "," 3,654 "," 521,736 "," 361,833 ",, 0.41 ," 2,144 "," 1,504 ", 5 ,,, 1 ," 3,045 ", -   , -   , 1 , 700 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90808," 6,795,273 "," 6,121 "," 442,613 "," 308,745 ",, 0.47 ," 3,248 "," 2,871 ", 2 ,,, 1 ," 117,529 ", 1 ," 3,438 ", 1 ," 7,244 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90810," 2,938,486 "," 3,129 "," 319,490 "," 216,955 ",, 0.33 ," 2,110 "," 1,018 ",,,, 5 ," 712,296 ", 1 ," 15,000 ", 5 ," 296,604 ", 1 ," 5,022 ", -   , -   , -   , -   , -   , -   , -   , -   
90813," 847,623 ", 876 ," 349,011 "," 232,954 ",, 0.35 , 572 , 304 ,,,, -   , -   , 1 ," 507,500 ", -   , -   , 1 ," 150,001 ", -   , -   , -   , -   , -   , -   , -   , -   
90814," 1,905,662 "," 1,324 "," 572,899 "," 400,507 ",, 0.47 , 700 , 620 , 4 ,,, 3 ," 594,770 ", -   , -   , 3 ," 229,014 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
90815," 6,002,302 "," 4,921 "," 481,581 "," 338,652 ",, 0.48 ," 2,585 "," 2,324 ", 13 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
91001," 11,315,192 "," 5,662 "," 594,617 "," 410,632 ",, 0.91 ," 2,036 "," 2,548 ", 666 , 353 , 58 , 3 ," 183,692 ", -   , -   , 2 ," 104,330 ", -   , -   , 1 ," 29,610 ", -   , -   , 1 ," 20,690 ", -   , -   
91006," 8,380,636 "," 4,019 "," 887,114 "," 594,155 ",, 0.55 ," 2,101 "," 1,689 ", 178 , 47 , 3 , 2 ," 782,000 ", -   , -   , 2 ," 209,051 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
