city,county
 Tarzana, Los Angeles
 Taylorsville, Plumas
 Tecate, San Diego
 Tecopa, Inyo
 Tehachapi, Kern
 Tehama, Tehama
 Temecula, Riverside
 Temple City, Los Angeles
 Templeton, San Luis Obispo
 Termo, Lassen
 Terra Bella, Tulare
 The Sea Ranch, Sonoma
 Thermal, Riverside
 Thornton, San Joaquin
 Thousand Oaks, Ventura
 Thousand Palms, Riverside
 Three Rivers, Tulare
 Tipton, Tulare
 Tollhouse, Fresno
 Toluca Lake, Los Angeles
 Tomales, Marin
 Topanga, Los Angeles
 Topaz, Mono
 Torrance, Los Angeles
 Trabuco Canyon, Orange
 Tracy, San Joaquin
 Tranquillity, Fresno
 Traver, Tulare
 Travis AFB, Solano
 Tres Pinos, San Benito
 Trinidad, Humboldt
 Trinity Center, Trinity
 Trona, San Bernardino
 Truckee, Nevada
 Tujunga, Los Angeles
 Tulare, Tulare
 Tulelake, Siskiyou
 Tuolumne, Tuolumne
 Tupman, Kern
 Turlock, Stanislaus
 Tustin, Orange
 Twain Harte, Tuolumne
 Twain, Plumas
 Twentynine Palms, San Bernardino
 Twin Bridges, El Dorado
 Twin Peaks, San Bernardino
 Ukiah, Mendocino
 Union City, Alameda
 Universal City, Los Angeles
 Upland, San Bernardino
 Upper Lake, Lake
 Vacaville, Solano
 Valencia, Los Angeles
 Vallecito, Calaveras
 Vallejo, Solano
 Valley Center, San Diego
 Valley Ford, Sonoma
 Valley Springs, Calaveras
 Valley Village, Los Angeles
 Valyermo, Los Angeles
 Van Nuys, Los Angeles
 Venice, Los Angeles
 Ventura, Ventura
 Verdugo City, Los Angeles
 Vernalis, San Joaquin
 Victor, San Joaquin
 Victorville, San Bernardino
 Vidal, San Bernardino
 Villa Grande, Sonoma
 Villa Park, Orange
 Vina, Tehama
 Vineburg, Sonoma
 Vinton, Plumas
 Visalia, Tulare
 Vista, San Diego
 Volcano, Amador
 Wallace, Calaveras
 Walnut Creek, Contra Costa
 Walnut Grove, Sacramento
 Walnut, Los Angeles
 Warner Springs, San Diego
 Wasco, Kern
 Washington, Nevada
 Waterford, Stanislaus
 Watsonville, Santa Cruz
 Waukena, Tulare
 Weaverville, Trinity
 Weed, Siskiyou
 Weimar, Placer
 Weldon, Kern
 Wendel, Lassen
 Weott, Humboldt
 West Covina, Los Angeles
 West Hills, Los Angeles
 West Hollywood, Los Angeles
 West Point, Calaveras
 West Sacramento, Yolo
 Westlake Village, Los Angeles
 Westley, Stanislaus
 Westminster, Orange
 Westmorland, Imperial
 Westport, Mendocino
 Westwood, Lassen
 Wheatland, Yuba
 Whiskeytown, Shasta
 Whitewater, Riverside
 Whitethorn, Humboldt
 Whitmore, Shasta
 Whittier, Los Angeles
 Wildomar, Riverside
 Williams, Colusa
 Willits, Mendocino
 Willow Creek, Humboldt
 Willows, Glenn
 Wilmington, Los Angeles
 Wilseyville, Calaveras
 Wilton, Sacramento
 Winchester, Riverside
 Windsor, Sonoma
 Winnetka, Los Angeles
 Winterhaven, Imperial
 Winters, Yolo
 Winton, Merced
 Wishon, Madera
 Witter Springs, Lake
 Wofford Heights, Kern
 Woodacre, Marin
 Woodbridge, San Joaquin
 Woodlake, Tulare
 Woodland Hills, Los Angeles
 Woodland, Yolo
 Woody, Kern
 Wrightwood, San Bernardino
 Yermo, San Bernardino
 Yettem, Tulare
 Yolo, Yolo
 Yorba Linda, Orange
 Yorkville, Mendocino
 Yosemite National Park, Mariposa
 Yountville, Napa
 Yreka, Siskiyou
 Yuba City, Sutter
 Yucaipa, San Bernardino
 Yucca Valley, San Bernardino
 Zamora, Yolo
 Zenia, Trinity
